OSObject,
OSObject.AGXAllocationList,0
OSObject.AGXCommandBuffer,0
OSObject.AGXFastRenderTarget,
OSObject.AGXFastRenderTarget.AGXFastRenderTargetG10,0
OSObject.AGXFirmware,
OSObject.AGXFirmware.AGXArmFirmware,
OSObject.AGXFirmware.AGXArmFirmware.AGXArmFirmwareKingfisherV4,0
OSObject.AGXFirmwareStatistics,0
OSObject._AGXIOFenceData,0
OSObject.AGXParameterManagement,
OSObject.AGXParameterManagement.AGXParameterManagerG10,0
OSObject.AGXPeakPowerManager,0
OSObject.AGXPerfCtrSampler,
OSObject.AGXPerfCtrSampler.AGXPerfCtrSamplerG10,0
OSObject.AGXRenderTargetMemory,
OSObject.AGXRenderTargetMemory.AGXRenderTargetMemoryG10,0
OSObject.AGXRestartReport,0
OSObject.AGXSharedGartTableBacking,
OSObject.AGXSharedGartTableBacking.AGXFamilySharedGartTableBacking,
OSObject.AGXSharedGartTableBacking.AGXFamilySharedGartTableBacking.AGXSharedGartTableBackingG10,0
OSObject.AGXTimeStampQueue,0
OSObject.AHTFunctionInfo,0
OSObject.AHTFunction,0
OSObject.AHTFunctionSequence,0
OSObject.AHTImageDownloader,0
OSObject.AHTMemoryDumpExtractor,0
OSObject.AIDCircularBuffer,0
OSObject.AIDLogger,
OSObject.AIDLogger.AIDSerialLogger,0
OSObject.AIDLogger.AIDUserClientLogger,0
OSObject.AIDQueueEventSourceWorkItem,0
OSObject.AIDReporter,
OSObject.AIDReporter.AIDReporterSimple,0
OSObject.AIDReporter.AIDReporterState,0
OSObject.AIDReporters,0
OSObject.AppleAJPEGHal,0
OSObject.AppleARMFunction,
OSObject.AppleARMFunction.AppleAGXFunctionMetrology,0
OSObject.AppleARMFunction.AppleAOPSMCFunction,0
OSObject.AppleARMFunction.AppleARM64ErrorHandler,0
OSObject.AppleARMFunction.AppleARMFunctionAssertReset,
OSObject.AppleARMFunction.AppleARMFunctionAssertReset.AppleARMPerformanceControllerFunctionAssertReset,0
OSObject.AppleARMFunction.AppleARMFunctionAssertReset.ApplePMGRFunctionAssertReset,0
OSObject.AppleARMFunction.AppleARMFunctionCharger,
OSObject.AppleARMFunction.AppleARMFunctionCharger.AppleARMFunctionChargerMux,
OSObject.AppleARMFunction.AppleARMFunctionCharger.AppleARMFunctionChargerMux.AppleOrionChargerFunction,0
OSObject.AppleARMFunction.AppleARMFunctionCharger.AppleSMCChargerFunction,0
OSObject.AppleARMFunction.AppleARMFunctionEventTimestamp,
OSObject.AppleARMFunction.AppleARMFunctionEventTimestamp.AICInterruptTimestampFunction,0
OSObject.AppleARMFunction.AppleARMFunctionEventTimestamp.AppleARMPWMCaptureTimestampFunction,0
OSObject.AppleARMFunction.AppleARMFunctionIISActive,0
OSObject.AppleARMFunction.AppleARMFunctionIISRoute,0
OSObject.AppleARMFunction.AppleARMFunctionMCA2Config,0
OSObject.AppleARMFunction.AppleARMFunctionPerfAdvise,
OSObject.AppleARMFunction.AppleARMFunctionPerfAdvise.AppleARMPerformanceControllerFunctionPerfAdvise,0
OSObject.AppleARMFunction.AppleARMFunctionSlowAdaptiveClockingAggressor,0
OSObject.AppleARMFunction.AppleARMFunctionSlowAdaptiveClocking,0
OSObject.AppleARMFunction.AppleARMFunctionUSBDataMonitor,
OSObject.AppleARMFunction.AppleARMFunctionUSBDataMonitor.AppleTriStarUSBDataMonitor,0
OSObject.AppleARMFunction.AppleARMPerformanceControllerFunctionClockGate,0
OSObject.AppleARMFunction.AppleARMPerformanceControllerFunctionCLPCEnabled,0
OSObject.AppleARMFunction.AppleARMPerformanceControllerFunctionCPUIdle,0
OSObject.AppleARMFunction.AppleARMPerformanceControllerFunctionPowerGate,0
OSObject.AppleARMFunction.AppleButtonsDispatchFunction,0
OSObject.AppleARMFunction.AppleCLPCFrameSwapFunction,0
OSObject.AppleARMFunction.AppleCS35L25PDMFunction,0
OSObject.AppleARMFunction.AppleCS42L75MicBiasFunction,0
OSObject.AppleARMFunction.AppleCS42L75TDMClockFunction,0
OSObject.AppleARMFunction.AppleDisplayPMUFunctionLDOEnable,0
OSObject.AppleARMFunction.AppleEmbeddedPCIEPortControlFunction,0
OSObject.AppleARMFunction.AppleFAN53741VoltageFunction,0
OSObject.AppleARMFunction.AppleNVMeMMUActivateFunction,0
OSObject.AppleARMFunction.ApplePearlCamQMsgFunction,0
OSObject.AppleARMFunction.ApplePMGRFunctionClockGate,0
OSObject.AppleARMFunction.ApplePMGRFunctionCLPCEnabled,0
OSObject.AppleARMFunction.ApplePMGRFunctionCPUIdle,0
OSObject.AppleARMFunction.ApplePMGRFunctionDISPFastGating,0
OSObject.AppleARMFunction.ApplePMGRFunctionEnableCPUCore,0
OSObject.AppleARMFunction.ApplePMGRFunctionEnableTouchClock,0
OSObject.AppleARMFunction.ApplePMGRFunctionISPRefClock,0
OSObject.AppleARMFunction.ApplePMGRFunctionPDMClockBypass,0
OSObject.AppleARMFunction.ApplePMGRFunctionPLLOffMode,0
OSObject.AppleARMFunction.ApplePMGRFunctionPMPInterrupt,0
OSObject.AppleARMFunction.ApplePMGRFunctionPowerGate,0
OSObject.AppleARMFunction.ApplePMGRFunctionSEPSleepPrep,0
OSObject.AppleARMFunction.ApplePMGRFunctionStartS2RTimer,0
OSObject.AppleARMFunction.ApplePMGRFunctionUSBClock,0
OSObject.AppleARMFunction.ApplePMGRFunctionVideoClock,0
OSObject.AppleARMFunction.ApplePMPControlFunction,0
OSObject.AppleARMFunction.AppleS5L8960XGPICFunction,0
OSObject.AppleARMFunction.AppleS5L8960XGPIOFunction,0
OSObject.AppleARMFunction.AppleS5L8960XNCOFrequencyFunction,0
OSObject.AppleARMFunction.AppleS8000DWIBacklightFunction,0
OSObject.AppleARMFunction.AppleS8000DWIVoltageFunction,0
OSObject.AppleARMFunction.AppleSecondaryAudioFunction,0
OSObject.AppleARMFunction.AppleSetDroopUtilizationControlEffortFunction,0
OSObject.AppleARMFunction.AppleSMCEmbeddedFunction,0
OSObject.AppleARMFunction.AppleSPUSphereFunction,0
OSObject.AppleARMFunction.AppleSPUSpkAmpStateFunction,0
OSObject.AppleARMFunction.AppleSynopsysMIPIDSIFrameDoneFunction,0
OSObject.AppleARMFunction.AppleSynopsysMIPIDSIProgramPartialFrameFunction,0
OSObject.AppleARMFunction.AppleSynopsysMIPIDSIResetClockFunction,0
