id,value
OSObject.IORegistryEntry.IOService.IOPMPowerSource.AppleSmartBattery,0
OSObject.IORegistryEntry.IOService.IOPMGR,
OSObject.IORegistryEntry.IOService.IOPMGR.ApplePMGR,
OSObject.IORegistryEntry.IOService.IOPMGR.ApplePMGR.AppleBringUpPMGR,0
OSObject.IORegistryEntry.IOService.IOPMGR.ApplePMGR.AppleT8140PMGR,0
OSObject.IORegistryEntry.IOService.IOMapper,
OSObject.IORegistryEntry.IOService.IOMapper.AGXArmFirmwareMapper,0
OSObject.IORegistryEntry.IOService.IOMapper.IOCoastGuardSARTMapper,0
OSObject.IORegistryEntry.IOService.IOMapper.IOSARTMapper,0
OSObject.IORegistryEntry.IOService.IOMapper.IODARTMapper,0
OSObject.IORegistryEntry.IOService.IOPlatformExpert,
OSObject.IORegistryEntry.IOService.IOPlatformExpert.IODTPlatformExpert,
OSObject.IORegistryEntry.IOService.IOPlatformExpert.IODTPlatformExpert.AppleARMPE,0
OSObject.IORegistryEntry.IOService.IOPlatformExpert.IOPanicPlatform,0
OSObject.IORegistryEntry.IOService.IOPlatformExpertDevice,0
OSObject.IORegistryEntry.IOService.IOPlatformDevice,0
OSObject.IORegistryEntry.IOService.IOPlatformIO,
OSObject.IORegistryEntry.IOService.IOPlatformIO.AppleARMIO,
OSObject.IORegistryEntry.IOService.IOPlatformIO.AppleARMIO.AppleH17PPlatformIO,0
OSObject.IORegistryEntry.IOService.IOCPU,
OSObject.IORegistryEntry.IOService.IOCPU.AppleARMCPU,0
OSObject.IORegistryEntry.IOService.IODTNVRAM,0
OSObject.IORegistryEntry.IOService.IODTNVRAMPlatformNotifier,0
OSObject.IORegistryEntry.IOService.IODTNVRAMDiags,0
OSObject.IORegistryEntry.IOService.IODTNVRAMVariables,0
OSObject.IORegistryEntry.IOService.IODMAController,
OSObject.IORegistryEntry.IOService.IODMAController.AppleSmartIODMAController,0
OSObject.IORegistryEntry.IOService.IODMAController.AudioDMAController,0
OSObject.IORegistryEntry.IOService.IOInterruptController,
OSObject.IORegistryEntry.IOService.IOInterruptController.IOCPUInterruptController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.IOSharedInterruptController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.PassthruInterruptController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController,
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController,
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController.AppleGen3SPMIController,0
